City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,ribeira grande,38.5167,-28.7,62.78,95,100,17.0,PT,1680239391
149,yavatmal,20.4,78.1333,88.43,29,64,8.93,IN,1680239954
150,carballo,43.213,-8.691,57.06,83,100,10.89,ES,1680239954
151,ketchikan,55.3422,-131.6461,37.87,93,100,8.05,US,1680239393
152,ponta do sol,32.6667,-17.1,71.13,26,5,4.23,PT,1680239420
153,saskylakh,71.9167,114.0833,-5.94,90,89,14.34,RU,1680239388
154,mar del plata,-38.0023,-57.5575,57.09,81,52,1.99,AR,1680239403
155,omboue,-1.5746,9.2618,74.55,93,97,4.92,GA,1680239955
156,bilibino,68.0546,166.4372,21.56,77,100,3.09,RU,1680239447
157,katsuura,35.1333,140.3,61.75,68,100,8.16,JP,1680239393
158,saravan,39.7196,45.6483,38.16,73,100,5.48,AM,1680239955
159,henties bay,-22.116,14.2845,56.93,90,43,3.6,NA,1680239443
160,georgetown,5.4112,100.3354,89.53,74,40,7.0,MY,1680239181
161,gornozavodsk,58.3758,58.3211,32.54,70,100,12.93,RU,1680239955
162,matara,5.9485,80.5353,87.1,63,2,1.54,LK,1680239955
163,tuktoyaktuk,69.4541,-133.0374,-5.46,95,6,11.65,CA,1680239390
164,qasigiannguit,68.8193,-51.1922,-3.75,84,3,4.83,GL,1680239427
165,faya,18.3851,42.4509,59.52,71,77,10.25,SA,1680239412
166,bambanglipuro,-7.95,110.2833,83.97,68,100,9.6,ID,1680239660
167,margate,51.3813,1.3862,50.9,90,100,11.99,GB,1680239417
168,pevek,69.7008,170.3133,10.18,84,89,9.4,RU,1680239409
169,hay river,60.8156,-115.7999,3.18,72,75,13.8,CA,1680239766
170,camacha,33.0833,-16.3333,62.02,72,20,4.61,PT,1680239410
171,nuuk,64.1835,-51.7216,21.81,63,6,14.97,GL,1680239181
172,dawlatabad,36.4141,64.9053,74.79,34,29,2.3,AF,1680239955
173,broken hill,-31.95,141.4333,71.13,37,78,8.59,AU,1680239955
174,kiboga,0.9161,31.7742,65.68,85,76,1.19,UG,1680239955
175,irituia,-1.7711,-47.4381,72.82,99,100,1.48,BR,1680239956
176,churapcha,62.0025,132.4325,28.98,72,100,9.84,RU,1680239956
177,lavrentiya,65.5833,-171.0,15.73,83,100,8.34,RU,1680239314
178,ouesso,1.6136,16.0517,68.58,90,100,2.42,CG,1680239956
179,kita,13.0349,-9.4895,78.31,27,73,5.12,ML,1680239956
180,codrington,-38.2667,141.9667,56.91,74,96,16.4,AU,1680239395
181,tripoli,32.8752,13.1875,62.4,47,0,6.26,LY,1680239936
182,maniitsoq,65.4167,-52.9,7.0,65,1,7.47,GL,1680239444
183,campbell river,50.0163,-125.2446,47.44,79,80,4.83,CA,1680239930
184,beringovskiy,63.05,179.3167,15.03,85,2,4.38,RU,1680239444
185,salalah,17.0151,54.0924,84.29,58,0,1.14,OM,1680239447
186,pathein,16.7833,94.7333,95.13,32,36,13.29,MM,1680239406
187,qui nhon,13.7667,109.2333,82.11,72,63,9.13,VN,1680239956
188,carrboro,35.9101,-79.0753,53.58,79,1,1.01,US,1680239956
189,kapit,2.0167,112.9333,82.62,70,100,2.57,MY,1680239956
190,rio gallegos,-51.6226,-69.2181,33.85,64,0,6.91,AR,1680239439
191,dniprovka,47.4295,34.618,36.93,65,0,12.1,UA,1680239956
192,makakilo city,21.3469,-158.0858,77.32,79,0,6.91,US,1680239409
193,srednekolymsk,67.45,153.6833,27.68,80,92,5.3,RU,1680239957
194,touros,-5.1989,-35.4608,76.84,87,100,7.83,BR,1680239398
195,palmer,42.1584,-72.3287,32.41,54,0,1.01,US,1680239398
196,bandarbeyla,9.4942,50.8122,81.45,70,19,4.56,SO,1680239957
197,noumea,-22.2763,166.4572,87.01,99,10,8.03,NC,1680239316
198,santa maria del oro,25.9333,-105.3667,58.98,24,74,6.69,MX,1680239957
199,padang,-0.9492,100.3543,86.05,69,95,3.6,ID,1680239957
200,sao paulo de olivenca,-3.3783,-68.8725,72.21,98,76,1.95,BR,1680239957
201,sao filipe,14.8961,-24.4956,73.63,76,52,4.5,CV,1680239414
202,port macquarie,-31.4333,152.9167,73.89,45,41,8.63,AU,1680239443
203,yumen,40.2833,97.2,61.32,9,12,5.55,CN,1680239957
204,esperance,-33.8667,121.9,71.55,53,58,16.24,AU,1680239435
205,sovetskiy,61.3614,63.5842,27.5,84,98,12.35,RU,1680239957
206,sisimiut,66.9395,-53.6735,0.88,77,1,9.48,GL,1680239957
207,sitka,57.0531,-135.33,42.69,56,100,12.66,US,1680239390
208,ghanzi,-21.5667,21.7833,67.57,55,9,7.94,BW,1680239446
209,campo gobierno,24.6536,-107.5411,68.25,56,75,4.61,MX,1680239957
210,adrar,20.5022,-10.0711,72.07,12,0,11.32,MR,1680239957
211,gat,31.61,34.7642,56.8,100,31,10.85,IL,1680239410
212,rumford,44.5537,-70.5509,27.95,82,5,3.78,US,1680239890
213,saint-michel-des-saints,46.6834,-73.9159,9.93,98,73,4.88,CA,1680239957
214,san patricio,28.017,-97.5169,75.88,91,100,18.28,US,1680239422
215,formosa do rio preto,-11.0483,-45.1931,75.11,63,92,2.24,BR,1680239958
216,pangnirtung,66.1451,-65.7125,-0.9,93,80,5.57,CA,1680239432
217,mackenzie,55.2999,-123.1698,30.42,69,0,2.3,CA,1680239958
218,luderitz,-26.6481,15.1594,59.05,71,1,6.38,NA,1680239387
219,pietermaritzburg,-29.6168,30.3928,57.9,92,100,1.1,ZA,1680239958
220,saldanha,-33.0117,17.9442,59.58,84,3,12.41,ZA,1680239430
221,itoman,26.1247,127.6694,75.58,73,75,12.66,JP,1680239958
